System,QMax,AcceptedUpdates,Reductions,Fallbacks,MaxPosteriorColumns,ConsequentSeconds,Output,RMSE,MAE,R2,PICP,MPIW,NMPIW,Violations,MaxExcess,MinSlack
1,800,810,313,287,816,4.750146713000504,1,0.014422395435632474,0.011368750132594873,0.9995287266632658,1.0,0.5391918096222953,0.16018915304872103,0,0.0,0.12913254376323097
1,800,810,313,287,816,4.750146713000504,2,0.012552581511802295,0.010350696624689308,0.9995283039820925,1.0,0.5860211442089783,0.20686292462816108,0,0.0,0.14014277051044904
1,1000,810,252,228,1016,4.913178494998647,1,0.01435228868636943,0.011323091358491279,0.9995332972132865,1.0,0.46221310778834196,0.13731945653346977,0,0.0,0.11621872801724487
1,1000,810,252,228,1016,4.913178494998647,2,0.012570092202849758,0.010360465275045243,0.9995269870443241,1.0,0.49181336511042767,0.1736079868163944,0,0.0,0.11347688596338995
1,1200,810,200,170,1216,4.50496320000093,1,0.01431409212410463,0.011298803602037189,0.9995357780330609,1.0,0.4184553425139309,0.12431940862190596,0,0.0,0.10981892908942592
1,1200,810,200,170,1216,4.50496320000093,2,0.012570349818104483,0.01036000353415564,0.9995269676559855,1.0,0.44078558335297235,0.1555954009635698,0,0.0,0.09801704609391321
2,800,816,321,303,816,4.402984087999357,1,0.012322698675281895,0.010201297941705071,0.9991729915840947,1.0,0.38597913755101204,0.15253113787513972,0,0.0,0.11152617152784597
2,800,816,321,303,816,4.402984087999357,2,0.011869088600426334,0.009724095069160952,0.9987229334871752,1.0,0.362452920911877,0.2001730108255105,0,0.0,0.07862192564430646
2,1000,816,228,206,1016,4.249386165000033,1,0.012330005362884615,0.010203642665800738,0.9991720105516452,1.0,0.3379344023173827,0.1335448315669995,0,0.0,0.09682747776585729
2,1000,816,228,206,1016,4.249386165000033,2,0.01187598544225605,0.009729832390024106,0.9987214489107228,1.0,0.30994756680285845,0.17117571432140216,0,0.0,0.06418706199868338
2,1200,816,169,153,1216,4.278807295999286,1,0.012335478277113822,0.010205848085494204,0.9991712753498669,1.0,0.3086249414908745,0.12196232625663597,0,0.0,0.08938480545087643
2,1200,816,169,153,1216,4.278807295999286,2,0.011876815137047374,0.00973061803256195,0.9987212702570456,1.0,0.2851081885674118,0.15745759303846762,0,0.0,0.058516485433622915
3,800,780,328,313,816,4.6422873310002615,1,0.011763328589418304,0.009862567696069571,0.9990075620290289,1.0,0.38869104999542975,0.17377668253469622,0,0.0,0.06794239364028676
3,800,780,328,313,816,4.6422873310002615,2,0.0118069251527382,0.009758028847255703,0.9994208782951932,1.0,0.4520543743969516,0.19753232983383065,0,0.0,0.09139598856762896
3,1000,780,232,219,1016,4.365450745000999,1,0.011763280156466953,0.009862190718914237,0.9990075702013077,1.0,0.33749247418198947,0.150886732649137,0,0.0,0.057972291289303035
3,1000,780,232,219,1016,4.365450745000999,2,0.01180680432739072,0.009757757627535243,0.999420890147936,1.0,0.3814362256779692,0.16667460953498112,0,0.0,0.07980656008123396
3,1200,780,138,137,1216,3.6156615010004316,1,0.011762624851605497,0.009861333404121533,0.9990076807701199,1.0,0.3052026368403287,0.13645053502409588,0,0.0,0.05238548682597208
3,1200,780,138,137,1216,3.6156615010004316,2,0.011807972671565664,0.009758201329098437,0.9994207755304527,1.0,0.3454629713354873,0.15095552540609777,0,0.0,0.07416369333291181
