Method,System,Amplitude,NoiseStd,Replicate,Output,RMSE,MAE,R2,PICP,MPIW,NMPIW,Violations,MaxExcess,MinSlack
MANFIZ_noise,1,1.0,0.005,1,1,0.007999774062747649,0.0062268776950901395,0.9998115534892648,1.0,0.5640366793865591,0.20729372496945334,0,0.0,0.1814531444036311
MANFIZ_noise,1,1.0,0.005,1,2,0.007440353808049528,0.005944729176666172,0.999793816467957,1.0,0.5933319345972362,0.2207739405965534,0,0.0,0.1754294476505247
MANFIZ_validation,1,1.0,0.005,1,1,0.007999774062747649,0.0062268776950901395,0.9998115534892648,1.0,0.44045707424860536,0.16187597535224452,0,0.0,0.12490350579637996
MANFIZ_validation,1,1.0,0.005,1,2,0.007440353808049528,0.005944729176666172,0.999793816467957,1.0,0.46867059399535543,0.174388479440803,0,0.0,0.11732023165724809
MANFIZ_noise,1,1.0,0.01,1,1,0.012079595868149441,0.0099295673846362,0.999570446242629,1.0,0.5640583991070883,0.20684745398984736,0,0.0,0.17338340379713732
MANFIZ_noise,1,1.0,0.01,1,2,0.011795060138241234,0.009834361460531748,0.9994818734430537,1.0,0.5933629536583107,0.22048375381550786,0,0.0,0.16863143885062365
MANFIZ_validation,1,1.0,0.01,1,1,0.012079595868149441,0.0099295673846362,0.999570446242629,1.0,0.44047879396913536,0.16152922678443493,0,0.0,0.11683376518988617
MANFIZ_validation,1,1.0,0.01,1,2,0.011795060138241234,0.009834361460531748,0.9994818734430537,1.0,0.4687016130564298,0.1741616837197667,0,0.0,0.11052222285734703
MANFIZ_noise,1,1.0,0.02,1,1,0.021856122986372552,0.018437766897689105,0.9985951499048542,1.0,0.5641457436177304,0.20560176656413134,0,0.0,0.1572694015495917
MANFIZ_noise,1,1.0,0.02,1,2,0.02172696546635318,0.018405482736176322,0.9982431811361998,1.0,0.5934802566539488,0.21976522273325483,0,0.0,0.15505152332283373
MANFIZ_validation,1,1.0,0.02,1,1,0.021856122986372552,0.018437766897689105,0.9985951499048542,1.0,0.44056613847977616,0.16056343131990058,0,0.0,0.10071976294234056
MANFIZ_validation,1,1.0,0.02,1,2,0.02172696546635318,0.018405482736176322,0.9982431811361998,1.0,0.46881891605206777,0.1736032367590981,0,0.0,0.09694230732955711
MANFIZ_noise,1,1.0,0.005,2,1,0.008827620006249743,0.006534547959289178,0.9997652705161365,1.0,0.5642933491882317,0.19548910324355356,0,0.0,0.17727993072429551
MANFIZ_noise,1,1.0,0.005,2,2,0.007189068750576446,0.005811207584903085,0.9998144681725964,1.0,0.5948787605876835,0.23518026922256638,0,0.0,0.17059792284647465
MANFIZ_validation,1,1.0,0.005,2,1,0.008827620006249743,0.006534547959289178,0.9997652705161365,1.0,0.4404690395451311,0.1525924373751644,0,0.0,0.11951528661178656
MANFIZ_validation,1,1.0,0.005,2,2,0.007189068750576446,0.005811207584903085,0.9998144681725964,1.0,0.470088547375531,0.18584551753201642,0,0.0,0.11428249164008486
MANFIZ_noise,1,1.0,0.01,2,1,0.0127835689580251,0.01020240190551999,0.9995079704047802,1.0,0.5643289984388753,0.1951546257453911,0,0.0,0.17050065677474843
MANFIZ_noise,1,1.0,0.01,2,2,0.011407436189264103,0.009448445279893832,0.9995333007421057,1.0,0.5949320220716723,0.23432256461128836,0,0.0,0.16087388048209486
MANFIZ_validation,1,1.0,0.01,2,1,0.0127835689580251,0.01020240190551999,0.9995079704047802,1.0,0.4405046887957737,0.1523340603067389,0,0.0,0.11273601266223948
MANFIZ_validation,1,1.0,0.01,2,2,0.011407436189264103,0.009448445279893832,0.9995333007421057,1.0,0.4701418088595196,0.1851721378172531,0,0.0,0.10455844927570507
MANFIZ_noise,1,1.0,0.02,2,1,0.02241081415585886,0.01854423051396515,0.9984898522071373,1.0,0.5644397315785417,0.1938363372600256,0,0.0,0.15696780764589713
MANFIZ_noise,1,1.0,0.02,2,2,0.02104569942570212,0.017683579113216597,0.9984153242049401,1.0,0.5950885401972804,0.232423636476261,0,0.0,0.14142996485822207
MANFIZ_validation,1,1.0,0.02,2,1,0.02241081415585886,0.01854423051396515,0.9984898522071373,1.0,0.44061542193543957,0.15131337280136514,0,0.0,0.09920316353338818
MANFIZ_validation,1,1.0,0.02,2,2,0.02104569942570212,0.017683579113216597,0.9984153242049401,1.0,0.47029832698512763,0.18368434275401724,0,0.0,0.08511453365183227
MANFIZ_noise,1,1.0,0.005,3,1,0.009233412107134128,0.006885918116426843,0.9997546030322163,1.0,0.5620919974107034,0.20691571309592385,0,0.0,0.17912406870961278
MANFIZ_noise,1,1.0,0.005,3,2,0.0071867607380480154,0.00574493005464873,0.9997990143722292,1.0,0.5897890772151098,0.22145285438195636,0,0.0,0.16821914567546947
MANFIZ_validation,1,1.0,0.005,3,1,0.009233412107134128,0.006885918116426843,0.9997546030322163,1.0,0.4384605034707026,0.16140483792326385,0,0.0,0.12343281523527416
MANFIZ_validation,1,1.0,0.005,3,2,0.0071867607380480154,0.00574493005464873,0.9997990143722292,1.0,0.4652015250119699,0.17467296285510206,0,0.0,0.11063665625364111
MANFIZ_noise,1,1.0,0.01,3,1,0.012864786068738107,0.01031266515794519,0.9995238482459766,1.0,0.5621499838467601,0.20625918014659728,0,0.0,0.16958710594793638
MANFIZ_noise,1,1.0,0.01,3,2,0.011649648633280814,0.009709577436932036,0.9994721922934099,1.0,0.5898614469827785,0.2206794799167304,0,0.0,0.16312455893594002
MANFIZ_validation,1,1.0,0.01,3,1,0.012864786068738107,0.01031266515794519,0.9995238482459766,1.0,0.4385184899067582,0.1608973882527901,0,0.0,0.11355942097584412
MANFIZ_validation,1,1.0,0.01,3,2,0.011649648633280814,0.009709577436932036,0.9994721922934099,1.0,0.4652738947796394,0.1740686760323227,0,0.0,0.10554206951411166
MANFIZ_noise,1,1.0,0.02,3,1,0.02205402108333138,0.018448756967050426,0.9986025881192391,1.0,0.5623033781111846,0.20434086682522523,0,0.0,0.14904697292949076
MANFIZ_noise,1,1.0,0.02,3,2,0.021707192565669768,0.018378789750704835,0.9981706035850182,1.0,0.5900540902155003,0.21916717609624675,0,0.0,0.15117641007948876
MANFIZ_validation,1,1.0,0.02,3,1,0.02205402108333138,0.018448756967050426,0.9986025881192391,1.0,0.4386718841711842,0.15941322167491992,0,0.0,0.09382401259806622
MANFIZ_validation,1,1.0,0.02,3,2,0.021707192565669768,0.018378789750704835,0.9981706035850182,1.0,0.46546653801235927,0.17289090677467728,0,0.0,0.09077910219441088
MANFIZ_noise,1,1.0,0.005,4,1,0.007988059189186207,0.006288894515724708,0.9998115288134003,1.0,0.563965948231701,0.2003900932532705,0,0.0,0.18066958028092012
MANFIZ_noise,1,1.0,0.005,4,2,0.007642454232216165,0.0059666569719774975,0.9997820462845345,1.0,0.5926969853676348,0.23559823164223212,0,0.0,0.16026335170178133
MANFIZ_validation,1,1.0,0.005,4,1,0.007988059189186207,0.006288894515724708,0.9998115288134003,1.0,0.44031180865054276,0.15645292889163614,0,0.0,0.1230822615296801
MANFIZ_validation,1,1.0,0.005,4,2,0.007642454232216165,0.0059666569719774975,0.9997820462845345,1.0,0.4681095194581034,0.18607446591080054,0,0.0,0.10320649735993681
MANFIZ_noise,1,1.0,0.01,4,1,0.01218790375023469,0.010005685427198492,0.9995613678414744,1.0,0.5639735501961528,0.20012375853690567,0,0.0,0.17673603214248862
MANFIZ_noise,1,1.0,0.01,4,2,0.011871481800467883,0.009766142812250815,0.9994743207363536,1.0,0.5926995796976133,0.23407168069643633,0,0.0,0.15474953263231536
MANFIZ_validation,1,1.0,0.01,4,1,0.01218790375023469,0.010005685427198492,0.9995613678414744,1.0,0.44031941061499363,0.15624558169151656,0,0.0,0.1191487133912486
MANFIZ_validation,1,1.0,0.01,4,2,0.011871481800467883,0.009766142812250815,0.9994743207363536,1.0,0.46811211378807915,0.1848690179342443,0,0.0,0.09769267829047085
MANFIZ_noise,1,1.0,0.02,4,1,0.0221102504716774,0.01859788812517435,0.9985578887087676,1.0,0.5640230706085555,0.19910645782117203,0,0.0,0.16389342171568885
