System,Method,Mode,Output,RMSE,MAE,R2
1,MANFIS,free_run,1,0.014925441970292917,0.01029795575551335,0.9994957855781849
1,MANFIS,free_run,2,0.010191035241156608,0.007359447641849758,0.9996892055259263
1,MANFIS,measured_lag_one_step,1,0.010087442574110254,0.007271608297005961,0.9997696845810589
1,MANFIS,measured_lag_one_step,2,0.0072104969564748276,0.0053207484853234205,0.999844415231726
1,MANFIZ,free_run,1,0.015438883843992019,0.010472478379384248,0.999460498492634
1,MANFIZ,free_run,2,0.010613478084472423,0.007643522452079516,0.9996629051352579
1,MANFIZ,measured_lag_one_step,1,0.010272931948210454,0.007322224755350731,0.9997611365584704
1,MANFIZ,measured_lag_one_step,2,0.007365575972989317,0.00540557382295348,0.999837650816595
2,MANFIS,free_run,1,0.007962867582481874,0.0055795604591507885,0.9996545165454535
2,MANFIS,free_run,2,0.007392892625096554,0.005448736105804407,0.9995045757360169
2,MANFIS,measured_lag_one_step,1,0.006840860812746426,0.005059031943627205,0.9997450178525726
2,MANFIS,measured_lag_one_step,2,0.006479249615484713,0.004795591040173419,0.9996194621158901
2,MANFIZ,free_run,1,0.007910991439880631,0.0055578459606802225,0.9996590033635251
2,MANFIZ,free_run,2,0.0074234930353132104,0.00547833475066909,0.9995004659614692
2,MANFIZ,measured_lag_one_step,1,0.006811712280074887,0.005040207722107234,0.9997471861530917
2,MANFIZ,measured_lag_one_step,2,0.0065081000127563005,0.004811426649318767,0.9996160657004557
3,MANFIS,free_run,1,0.006791017697215184,0.004930659548678198,0.9996699686580434
3,MANFIS,free_run,2,0.00948402712962756,0.007114253652254704,0.9996267933882275
3,MANFIS,measured_lag_one_step,1,0.005752484607650014,0.0044542463121213256,0.99976319198829
3,MANFIS,measured_lag_one_step,2,0.006613652746946445,0.005283734679236238,0.9998185125784375
3,MANFIZ,free_run,1,0.006838590287502046,0.00496992344463987,0.9996653285763726
3,MANFIZ,free_run,2,0.009453329210397524,0.00710305804428195,0.9996292054700966
3,MANFIZ,measured_lag_one_step,1,0.005760854002044236,0.0044640794843650525,0.9997625024144585
3,MANFIZ,measured_lag_one_step,2,0.006610022464099638,0.005281369938630461,0.999818711763328
