System,Stage,Amplitude,NoiseStd,Replicate,PhaseSeed,NoiseSeed,SHA256
1,clean_calibration,1.0,0,1,326092301,326192301,5890e6f53fab585f6495e6e8fc2d9a9864113b3e6bbbb9945bea64ae5f7f7e64
1,clean_calibration,1.0,0,2,326092302,326192302,9beb1b12298471b820ffaaff2a2e1cfcac9468ca8e359aaf65186e13da170de8
1,clean_calibration,1.0,0,3,326092303,326192303,4acfe97e5f1195d64fab523f2e30d821471289713e9e2b03f54ece78cb06b749
1,clean_calibration,1.0,0,4,326092304,326192304,d2a2ac746843a7535aa5ce38d8083920698f07a1068d95b1d5266b09367182fa
1,clean_calibration,1.0,0,5,326092305,326192305,88296669a83584feae9382438e907388db87aa660a20ef98ae938da245647928
1,clean_calibration,1.0,0,6,326092306,326192306,f2ac045f2a1768ee05e2770af39d1b8ff23f3f8385f20d959a117843dd92c68c
1,clean_calibration,1.0,0,7,326092307,326192307,89e3eeef0fde9ef444ab80a4287a946bfcc2698d33326e584c667697c0781994
1,clean_calibration,1.0,0,8,326092308,326192308,1ad52b5c575d856c717b57d07816a363878e2b654589528a7a3fd47dd05d9f1c
1,clean_calibration,1.0,0,9,326092309,326192309,8c93dc78755e4d5b2862c51e1c92272f63f92f516834f9c4cf2e18178cdad33a
1,clean_calibration,1.0,0,10,326092310,326192310,11588aa845117d5af97263ccfababaed4b8858dd485ee27302aa6cdb4bc65982
1,clean_calibration,1.0,0,11,326092311,326192311,168ea1cc742a4b5f11f8ea6884bb43e90bbf044ab8c92e88f123fb17380a5d2c
1,clean_calibration,1.0,0,12,326092312,326192312,c9f974575350c83ff7a51f97768d2df69b7e0290b6d89d4801d5ec11a6c96e8c
1,clean_calibration,1.0,0,13,326092313,326192313,bc7f227e24d6a9cbfda54cf75c64b1f1cdfdbac0f3788c89f07237ff18c59aeb
1,clean_calibration,1.0,0,14,326092314,326192314,8071caa56abf480c373ea8bf2e4fcfdfe4203f2759baf3f967f64375312ba312
1,clean_calibration,1.0,0,15,326092315,326192315,85821a885be9cf9d2783ad263d09e4f3c98dc2108dbd0003aacf24b85b627ed3
1,clean_calibration,1.0,0,16,326092316,326192316,69a381a48aa64136596cdd3ec51fd139c1e55882f07ed487de1d5fb38556af1d
1,clean_calibration,1.0,0,17,326092317,326192317,2c864cbc80d1f4e038be6289c1bbaa217790a66acf7d3d5c74dbc8dedd8ac99f
1,clean_calibration,1.0,0,18,326092318,326192318,83fba2a3a6078407a4a12e5e5219f344164fd5efa2340609cc52e1a5d2c5e7e7
1,clean_calibration,1.0,0,19,326092319,326192319,b3ea54860209be4cbf2d1e9aa5e2e3480bd9becb55f41137ddfadd6b18489480
1,clean_calibration,1.0,0,20,326092320,326192320,80b491fa09b50ce0696753ac5f6ff2cb9f45632cc60974f8947f39213d83b366
1,clean_calibration,1.15,0,1,326092301,326192301,b59c88d3eb9cf0bb5dac4c0d39099776b1db0fe16b0b20bbb39a775184c44186
1,clean_calibration,1.15,0,2,326092302,326192302,6ba41c781d07f2db76af8195aa263694a13190a2b8ece6ae324352466fd59829
1,clean_calibration,1.15,0,3,326092303,326192303,64b85cc28a8fa54ed012c1f3a28a0458fd105e4fae0469098cb61414b9df9092
1,clean_calibration,1.15,0,4,326092304,326192304,5bafb95f5fb98ffa068ab8bd25b1abf73ff567b77b1b7aafd5a1757e1f0b5790
1,clean_calibration,1.15,0,5,326092305,326192305,4fae39ef05ff83e2b5670826c05895fa43cb91f7d84c42448c6a610f77a4c632
1,clean_calibration,1.15,0,6,326092306,326192306,08c0ef81f5d7cc56961149d241a96262ef2fe54f35b1948043dc50e7abf119f2
1,clean_calibration,1.15,0,7,326092307,326192307,3943e48a7ee6ab54a3d5f8cd3f404402004cfd4173e1537c1222658881d9eee2
1,clean_calibration,1.15,0,8,326092308,326192308,ad115173c6211f3a959f6e49bf3a92f7ca4e34a3201db9451184be5a6f6d875c
1,clean_calibration,1.15,0,9,326092309,326192309,5e12401d20bde3c6a10e2cef6e151b8250170442598503c57cec15ae6e15ba39
1,clean_calibration,1.15,0,10,326092310,326192310,d060a2f5eeda9824c790e684ff7cef05badd16b79bde6b4e36266fb510253858
1,clean_calibration,1.15,0,11,326092311,326192311,dd2c1b0d9a92a8c7645f383d0fdfa00866bae5907337c513250d52bcc41b23d7
1,clean_calibration,1.15,0,12,326092312,326192312,abe887e7d756e405f7994c4d1838eca8be4b2401ff08a51dc09e7dc6adee0fb8
1,clean_calibration,1.15,0,13,326092313,326192313,d3e98c76ee6dbcd8aaad8ca19b7f2e27dd186164784bde50c6ec30dd5192c6cb
1,clean_calibration,1.15,0,14,326092314,326192314,5036bd32e5cfa13521f86a3dfa68b1b65fe65afe59ec06005cb46f28479f17cb
1,clean_calibration,1.15,0,15,326092315,326192315,3f2651bc1fbadf18c3a562d9c3737b9c962535f7acee03bb7d77436489580707
1,clean_calibration,1.15,0,16,326092316,326192316,4e2ed19c8f38fd5e2b7d821753451e2739aed24392a60d21e61da6dda3db7f96
1,clean_calibration,1.15,0,17,326092317,326192317,eecbb29f7c05dde2ed7bb4327a1a4442237bfdd3181fc1185a9f3e9d46bd1537
1,clean_calibration,1.15,0,18,326092318,326192318,3f0e004118eee8074f6c1c0f21d7ffcd2fc9168ff97e5f13126e5012f67f3238
1,clean_calibration,1.15,0,19,326092319,326192319,7660329370b0bb5b55caac235f00504e79d38e2d59461a684723e04ec5ffc0ca
1,clean_calibration,1.15,0,20,326092320,326192320,198172c502cce71ccac0114c2cf43267a6d7f646708e835ea67a3cc2909a52cf
1,clean_calibration,1.3,0,1,326092301,326192301,72153c54274f26d0bb9e6044b0d222338b04f5b03888e005ded252de435159c1
